,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
131,354857,132,0,Regular Show: The Movie,released,us,tt4920274,69.0,15245.0,en,movie,2015-09-01,2015.0,en,tt4920274,354857,15245.0,4da
132,292177,133,0,My Little Pony: Equestria Girls – Rainbow Rocks,released,ca,tt3529198,73.0,16554.0,en,movie,2014-09-27,2014.0,en,tt3529198,292177,16554.0,4ar
133,9385,134,0,The Twelve Tasks of Asterix,Released,fr,tt0072901,82.0,,fr,movie,1976-06-26,1976.0,fr,tt0072901,9385,,3ft
134,594328,135,0,Phineas and Ferb the Movie: Candace Against the Universe,Released,us,tt1817232,86.0,131376.0,en,movie,2020-08-27,2020.0,en,tt1817232,594328,131376.0,444cr
135,42994,136,0,Memories,released,jp,tt0113799,113.0,349849.0,ja,movie,1995-12-23,1995.0,ja,tt0113799,42994,349849.0,2yi2m
136,1056444,137,0,The Colors Within,released,jp,tt23951384,101.0,342243.0,ja,movie,2024-08-30,2024.0,ja,tt23951384,1056444,342243.0,2yfvm
137,995133,138,0,"The Boy, the Mole, the Fox and the Horse",released,gb,tt22667880,35.0,340782.0,en,movie,2022-12-25,2022.0,en,tt22667880,995133,340782.0,2x0cb
138,947219,139,0,Ernest & Celestine: A Trip to Gibberitia,released,fr,tt22352776,80.0,340870.0,fr,movie,2022-12-14,2022.0,fr,tt22352776,947219,340870.0,2vtz0
139,887870,140,0,Blue Giant,Released,jp,tt15737898,120.0,339491.0,ja,movie,2023-02-17,2023.0,ja,tt15737898,887870,339491.0,2tyob
140,820067,141,0,The Quintessential Quintuplets Movie,Released,jp,tt15721650,136.0,159257.0,ja,movie,2022-05-20,2022.0,ja,tt15721650,820067,159257.0,2pehb
141,11688,142,0,The Emperor's New Groove,Released,us,tt0120917,78.0,952.0,en,movie,2000-12-15,2000.0,en,tt0120917,11688,952.0,bhr2
142,63498,143,0,Chico & Rita,Released,cu,tt1235830,93.0,14092.0,es,movie,2010-11-19,2010.0,es,tt1235830,63498,14092.0,bf24
143,9837,144,0,The Prince of Egypt,Released,us,tt0120794,99.0,1353.0,en,movie,1998-12-16,1998.0,en,tt0120794,9837,1353.0,be9b
144,666243,145,0,The Witcher: Nightmare of the Wolf,Released,us,tt11657662,83.0,136400.0,en,movie,2021-08-22,2021.0,en,tt11657662,666243,136400.0,3dff
145,361705,146,0,Birdboy: The Forgotten Children,released,es,tt5004766,76.0,19529.0,es,movie,2015-09-24,2015.0,es,tt5004766,361705,19529.0,1fz1
146,3170,147,0,Bambi,released,us,tt0034492,70.0,1151.0,en,movie,1942-08-14,1942.0,en,tt0034492,3170,1151.0,ykm
147,10882,148,0,Sleeping Beauty,Released,us,tt0053285,75.0,,en,movie,1959-02-17,1959.0,en,tt0053285,10882,,ykl
148,11360,149,0,Dumbo,Released,us,tt0033563,64.0,,en,movie,1941-10-31,1941.0,en,tt0033563,11360,,ykj
149,11224,150,0,Cinderella,released,us,tt0042332,74.0,369.0,en,movie,1950-02-22,1950.0,en,tt0042332,11224,369.0,yk2
150,20007,151,0,The Bugs Bunny/Road Runner Movie,Released,us,tt0078915,98.0,15418.0,en,movie,1979-09-28,1979.0,en,tt0078915,20007,15418.0,7q2
